,index,Category,Category_Gender,Medal,Athlete_Full_Name,Country_IMG_URL,Country_Code,Sport_Event
466,466,"Kumite, ≤67 kg",Men,Bronze,Darkhan Assadilov,https://www.olympedia.org/images/flags/KAZ.png,KAZ,Karate
467,467,"Kumite, ≤67 kg",Men,Bronze,Abdel Rahman Al-Masatfa,https://www.olympedia.org/images/flags/JOR.png,JOR,Karate
468,468,"Kumite, ≤75 kg",Men,Gold,Luigi Busà,https://www.olympedia.org/images/flags/ITA.png,ITA,Karate
469,469,"Kumite, ≤75 kg",Men,Silver,Rafael Aghayev,https://www.olympedia.org/images/flags/AZE.png,AZE,Karate
470,470,"Kumite, ≤75 kg",Men,Bronze,Stanislav Horuna,https://www.olympedia.org/images/flags/UKR.png,UKR,Karate
471,471,"Kumite, ≤75 kg",Men,Bronze,Gábor Hárspataki,https://www.olympedia.org/images/flags/HUN.png,HUN,Karate
472,472,"Kumite, >75 kg",Men,Gold,Sajad Ganjzadeh,https://www.olympedia.org/images/flags/IRI.png,IRI,Karate
473,473,"Kumite, >75 kg",Men,Silver,Tareg Hamedi,https://www.olympedia.org/images/flags/KSA.png,KSA,Karate
474,474,"Kumite, >75 kg",Men,Bronze,Uğur Aktaş,https://www.olympedia.org/images/flags/TUR.png,TUR,Karate
475,475,"Kumite, >75 kg",Men,Bronze,Ryutaro Araga,https://www.olympedia.org/images/flags/JPN.png,JPN,Karate
476,476,Kata,Women,Gold,Sandra Sánchez,https://www.olympedia.org/images/flags/ESP.png,ESP,Karate
477,477,Kata,Women,Silver,Kiyou Shimizu,https://www.olympedia.org/images/flags/JPN.png,JPN,Karate
478,478,Kata,Women,Bronze,Grace Lau,https://www.olympedia.org/images/flags/HKG.png,HKG,Karate
479,479,Kata,Women,Bronze,Viviana Bottaro,https://www.olympedia.org/images/flags/ITA.png,ITA,Karate
480,480,"Kumite, ≤55 kg",Women,Gold,Ivet Goranova,https://www.olympedia.org/images/flags/BUL.png,BUL,Karate
481,481,"Kumite, ≤55 kg",Women,Silver,Anzhelika Terliuha,https://www.olympedia.org/images/flags/UKR.png,UKR,Karate
482,482,"Kumite, ≤55 kg",Women,Bronze,Bettina Plank,https://www.olympedia.org/images/flags/AUT.png,AUT,Karate
483,483,"Kumite, ≤55 kg",Women,Bronze,Wen Tzu-Yun,https://www.olympedia.org/images/flags/TPE.png,TPE,Karate
484,484,"Kumite, ≤61 kg",Women,Gold,Jovana Preković,https://www.olympedia.org/images/flags/SRB.png,SRB,Karate
485,485,"Kumite, ≤61 kg",Women,Silver,Yin Xiaoyan,https://www.olympedia.org/images/flags/CHN.png,CHN,Karate
486,486,"Kumite, ≤61 kg",Women,Bronze,Merve Çoban,https://www.olympedia.org/images/flags/TUR.png,TUR,Karate
487,487,"Kumite, ≤61 kg",Women,Bronze,Giana Lotfy,https://www.olympedia.org/images/flags/EGY.png,EGY,Karate
488,488,"Kumite, >61 kg",Women,Gold,Feryal Ashraf,https://www.olympedia.org/images/flags/EGY.png,EGY,Karate
489,489,"Kumite, >61 kg",Women,Silver,Iryna Zaretska,https://www.olympedia.org/images/flags/AZE.png,AZE,Karate
490,490,"Kumite, >61 kg",Women,Bronze,Sofya Berultseva,https://www.olympedia.org/images/flags/KAZ.png,KAZ,Karate
491,491,"Kumite, >61 kg",Women,Bronze,Gong Li,https://www.olympedia.org/images/flags/CHN.png,CHN,Karate
492,492,10 kilometres Open Water,Men,Gold,Florian Wellbrock,https://www.olympedia.org/images/flags/GER.png,GER,Marathon Swimming
493,493,10 kilometres Open Water,Men,Silver,Kristóf Rasovszky,https://www.olympedia.org/images/flags/HUN.png,HUN,Marathon Swimming
494,494,10 kilometres Open Water,Men,Bronze,Gregorio Paltrinieri,https://www.olympedia.org/images/flags/ITA.png,ITA,Marathon Swimming
495,495,10 kilometres Open Water,Women,Gold,Ana Marcela Cunha,https://www.olympedia.org/images/flags/BRA.png,BRA,Marathon Swimming
496,496,10 kilometres Open Water,Women,Silver,Sharon van Rouwendaal,https://www.olympedia.org/images/flags/NED.png,NED,Marathon Swimming
497,497,10 kilometres Open Water,Women,Bronze,Kareena Lee,https://www.olympedia.org/images/flags/AUS.png,AUS,Marathon Swimming
498,498,Individual,Men,Gold,Joe Choong,https://www.olympedia.org/images/flags/GBR.png,GBR,Modern Pentathlon
499,499,Individual,Men,Silver,Ahmed El-Gendy,https://www.olympedia.org/images/flags/EGY.png,EGY,Modern Pentathlon
500,500,Individual,Men,Bronze,Jeon Ung-Tae,https://www.olympedia.org/images/flags/KOR.png,KOR,Modern Pentathlon
501,501,Individual,Women,Gold,Kate French,https://www.olympedia.org/images/flags/GBR.png,GBR,Modern Pentathlon
502,502,Individual,Women,Silver,Laura Asadauskaitė,https://www.olympedia.org/images/flags/LTU.png,LTU,Modern Pentathlon
503,503,Individual,Women,Bronze,Sarolta Kovács,https://www.olympedia.org/images/flags/HUN.png,HUN,Modern Pentathlon
504,504,Individual,Women,Gold,Linoy Ashram,https://www.olympedia.org/images/flags/ISR.png,ISR,Rhythmic Gymnastics
505,505,Individual,Women,Silver,Dina Averina,https://www.olympedia.org/images/flags/ROC.png,ROC,Rhythmic Gymnastics
506,506,Individual,Women,Bronze,Alina Harnasko,https://www.olympedia.org/images/flags/BLR.png,BLR,Rhythmic Gymnastics
507,507,Group,Women,Gold,Bulgaria,https://www.olympedia.org/images/flags/BUL.png,BUL,Rhythmic Gymnastics
508,508,Group,Women,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Rhythmic Gymnastics
509,509,Group,Women,Bronze,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Rhythmic Gymnastics
510,510,Single Sculls,Men,Gold,Stefanos Ntouskos,https://www.olympedia.org/images/flags/GRE.png,GRE,Rowing
511,511,Single Sculls,Men,Silver,Kjetil Borch,https://www.olympedia.org/images/flags/NOR.png,NOR,Rowing
512,512,Single Sculls,Men,Bronze,Damir Martin,https://www.olympedia.org/images/flags/CRO.png,CRO,Rowing
513,513,Double Sculls,Men,Gold,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Rowing
514,514,Double Sculls,Men,Silver,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Rowing
515,515,Double Sculls,Men,Bronze,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Rowing
516,516,Quadruple Sculls,Men,Gold,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Rowing
517,517,Quadruple Sculls,Men,Silver,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Rowing
518,518,Quadruple Sculls,Men,Bronze,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Rowing
519,519,Coxless Pairs,Men,Gold,Croatia,https://www.olympedia.org/images/flags/CRO.png,CRO,Rowing
520,520,Coxless Pairs,Men,Silver,Romania,https://www.olympedia.org/images/flags/ROU.png,ROU,Rowing
521,521,Coxless Pairs,Men,Bronze,Denmark,https://www.olympedia.org/images/flags/DEN.png,DEN,Rowing
522,522,Coxless Fours,Men,Gold,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Rowing
523,523,Coxless Fours,Men,Silver,Romania,https://www.olympedia.org/images/flags/ROU.png,ROU,Rowing
524,524,Coxless Fours,Men,Bronze,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Rowing
525,525,Eights,Men,Gold,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Rowing
526,526,Eights,Men,Silver,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Rowing
527,527,Eights,Men,Bronze,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Rowing
528,528,Lightweight Double Sculls,Men,Gold,Ireland,https://www.olympedia.org/images/flags/IRL.png,IRL,Rowing
529,529,Lightweight Double Sculls,Men,Silver,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Rowing
530,530,Lightweight Double Sculls,Men,Bronze,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Rowing
531,531,Single Sculls,Women,Gold,Emma Twigg,https://www.olympedia.org/images/flags/NZL.png,NZL,Rowing
532,532,Single Sculls,Women,Silver,Anna Prakaten,https://www.olympedia.org/images/flags/ROC.png,ROC,Rowing
533,533,Single Sculls,Women,Bronze,Magdalena Lobnig,https://www.olympedia.org/images/flags/AUT.png,AUT,Rowing
534,534,Double Sculls,Women,Gold,Romania,https://www.olympedia.org/images/flags/ROU.png,ROU,Rowing
535,535,Double Sculls,Women,Silver,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Rowing
536,536,Double Sculls,Women,Bronze,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Rowing
537,537,Quadruple Sculls,Women,Gold,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Rowing
538,538,Quadruple Sculls,Women,Silver,Poland,https://www.olympedia.org/images/flags/POL.png,POL,Rowing
539,539,Quadruple Sculls,Women,Bronze,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Rowing
540,540,Coxless Pairs,Women,Gold,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Rowing
541,541,Coxless Pairs,Women,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Rowing
542,542,Coxless Pairs,Women,Bronze,Canada,https://www.olympedia.org/images/flags/CAN.png,CAN,Rowing
543,543,Coxless Fours,Women,Gold,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Rowing
544,544,Coxless Fours,Women,Silver,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Rowing
545,545,Coxless Fours,Women,Bronze,Ireland,https://www.olympedia.org/images/flags/IRL.png,IRL,Rowing
546,546,Eights,Women,Gold,Canada,https://www.olympedia.org/images/flags/CAN.png,CAN,Rowing
547,547,Eights,Women,Silver,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Rowing
548,548,Eights,Women,Bronze,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Rowing
549,549,Lightweight Double Sculls,Women,Gold,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Rowing
550,550,Lightweight Double Sculls,Women,Silver,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Rowing
551,551,Lightweight Double Sculls,Women,Bronze,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Rowing
552,552,Rugby Sevens,Men,Gold,Fiji,https://www.olympedia.org/images/flags/FIJ.png,FIJ,Rugby Sevens
553,553,Rugby Sevens,Men,Silver,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Rugby Sevens
554,554,Rugby Sevens,Men,Bronze,Argentina,https://www.olympedia.org/images/flags/ARG.png,ARG,Rugby Sevens
555,555,Rugby Sevens,Women,Gold,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Rugby Sevens
556,556,Rugby Sevens,Women,Silver,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Rugby Sevens
557,557,Rugby Sevens,Women,Bronze,Fiji,https://www.olympedia.org/images/flags/FIJ.png,FIJ,Rugby Sevens
558,558,Windsurfer,Men,Gold,Kiran Badloe,https://www.olympedia.org/images/flags/NED.png,NED,Sailing
559,559,Windsurfer,Men,Silver,Thomas Goyard,https://www.olympedia.org/images/flags/FRA.png,FRA,Sailing
560,560,Windsurfer,Men,Bronze,Bi Kun,https://www.olympedia.org/images/flags/CHN.png,CHN,Sailing
561,561,One Person Dinghy,Men,Gold,Matthew Wearn,https://www.olympedia.org/images/flags/AUS.png,AUS,Sailing
562,562,One Person Dinghy,Men,Silver,Tonči Stipanović,https://www.olympedia.org/images/flags/CRO.png,CRO,Sailing
563,563,One Person Dinghy,Men,Bronze,Hermann Tomasgaard,https://www.olympedia.org/images/flags/NOR.png,NOR,Sailing
564,564,Two Person Dinghy,Men,Gold,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Sailing
565,565,Two Person Dinghy,Men,Silver,Sweden,https://www.olympedia.org/images/flags/SWE.png,SWE,Sailing
566,566,Two Person Dinghy,Men,Bronze,Spain,https://www.olympedia.org/images/flags/ESP.png,ESP,Sailing
567,567,Skiff,Men,Gold,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Sailing
568,568,Skiff,Men,Silver,New Zealand,https://www.olympedia.org/images/flags/NZL.png,NZL,Sailing
569,569,Skiff,Men,Bronze,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Sailing
570,570,One Person Heavyweight Dinghy,Men,Gold,Giles Scott,https://www.olympedia.org/images/flags/GBR.png,GBR,Sailing
571,571,One Person Heavyweight Dinghy,Men,Silver,Zsombor Berecz,https://www.olympedia.org/images/flags/HUN.png,HUN,Sailing
572,572,One Person Heavyweight Dinghy,Men,Bronze,Joan Cardona,https://www.olympedia.org/images/flags/ESP.png,ESP,Sailing
573,573,Windsurfer,Women,Gold,Lu Yunxiu,https://www.olympedia.org/images/flags/CHN.png,CHN,Sailing
574,574,Windsurfer,Women,Silver,Charline Picon,https://www.olympedia.org/images/flags/FRA.png,FRA,Sailing
575,575,Windsurfer,Women,Bronze,Emma Wilson,https://www.olympedia.org/images/flags/GBR.png,GBR,Sailing
576,576,One Person Dinghy,Women,Gold,Anne-Marie Rindom,https://www.olympedia.org/images/flags/DEN.png,DEN,Sailing
577,577,One Person Dinghy,Women,Silver,Josefin Olsson,https://www.olympedia.org/images/flags/SWE.png,SWE,Sailing
578,578,One Person Dinghy,Women,Bronze,Marit Bouwmeester,https://www.olympedia.org/images/flags/NED.png,NED,Sailing
579,579,Two Person Dinghy,Women,Gold,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Sailing
580,580,Two Person Dinghy,Women,Silver,Poland,https://www.olympedia.org/images/flags/POL.png,POL,Sailing
581,581,Two Person Dinghy,Women,Bronze,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Sailing
582,582,Skiff,Women,Gold,Brazil,https://www.olympedia.org/images/flags/BRA.png,BRA,Sailing
583,583,Skiff,Women,Silver,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Sailing
584,584,Skiff,Women,Bronze,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Sailing
585,585,Multihull,Mixed,Gold,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Sailing
586,586,Multihull,Mixed,Silver,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Sailing
587,587,Multihull,Mixed,Bronze,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Sailing
588,588,"Air Pistol, 10 metres",Men,Gold,Javad Foroughi,https://www.olympedia.org/images/flags/IRI.png,IRI,Shooting
589,589,"Air Pistol, 10 metres",Men,Silver,Damir Mikec,https://www.olympedia.org/images/flags/SRB.png,SRB,Shooting
590,590,"Air Pistol, 10 metres",Men,Bronze,Pang Wei,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
591,591,"Rapid-Fire Pistol, 25 metres",Men,Gold,Jean Quiquampoix,https://www.olympedia.org/images/flags/FRA.png,FRA,Shooting
592,592,"Rapid-Fire Pistol, 25 metres",Men,Silver,Leuris Pupo,https://www.olympedia.org/images/flags/CUB.png,CUB,Shooting
593,593,"Rapid-Fire Pistol, 25 metres",Men,Bronze,Li Yuehong,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
594,594,"Air Rifle, 10 metres",Men,Gold,Will Shaner,https://www.olympedia.org/images/flags/USA.png,USA,Shooting
595,595,"Air Rifle, 10 metres",Men,Silver,Sheng Lihao,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
596,596,"Air Rifle, 10 metres",Men,Bronze,Yang Haoran,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
597,597,"Small-Bore Rifle, Three Positions, 50 metres",Men,Gold,Zhang Changhong,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
598,598,"Small-Bore Rifle, Three Positions, 50 metres",Men,Silver,Sergey Kamensky,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
599,599,"Small-Bore Rifle, Three Positions, 50 metres",Men,Bronze,Milenko Sebić,https://www.olympedia.org/images/flags/SRB.png,SRB,Shooting
600,600,Trap,Men,Gold,Jiří Lipták,https://www.olympedia.org/images/flags/CZE.png,CZE,Shooting
601,601,Trap,Men,Silver,David Kostelecký,https://www.olympedia.org/images/flags/CZE.png,CZE,Shooting
602,602,Trap,Men,Bronze,Matthew Coward-Holley,https://www.olympedia.org/images/flags/GBR.png,GBR,Shooting
603,603,Skeet,Men,Gold,Vincent Hancock,https://www.olympedia.org/images/flags/USA.png,USA,Shooting
604,604,Skeet,Men,Silver,Jesper Hansen,https://www.olympedia.org/images/flags/DEN.png,DEN,Shooting
605,605,Skeet,Men,Bronze,Abdullah Al-Rashidi,https://www.olympedia.org/images/flags/KUW.png,KUW,Shooting
606,606,"Air Pistol, 10 metres",Women,Gold,Vitalina Batsarashkina,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
607,607,"Air Pistol, 10 metres",Women,Silver,Antoaneta Kostadinova,https://www.olympedia.org/images/flags/BUL.png,BUL,Shooting
608,608,"Air Pistol, 10 metres",Women,Bronze,Jiang Ranxin,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
609,609,"Sporting Pistol, 25 metres",Women,Gold,Vitalina Batsarashkina,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
610,610,"Sporting Pistol, 25 metres",Women,Silver,Kim Min-Jeong,https://www.olympedia.org/images/flags/KOR.png,KOR,Shooting
611,611,"Sporting Pistol, 25 metres",Women,Bronze,Xiao Jiaruixuan,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
612,612,"Air Rifle, 10 metres",Women,Gold,Yang Qian,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
613,613,"Air Rifle, 10 metres",Women,Silver,Anastasiya Galashina,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
614,614,"Air Rifle, 10 metres",Women,Bronze,Nina Christen,https://www.olympedia.org/images/flags/SUI.png,SUI,Shooting
615,615,"Small-Bore Rifle, Three Positions, 50 metres",Women,Gold,Nina Christen,https://www.olympedia.org/images/flags/SUI.png,SUI,Shooting
616,616,"Small-Bore Rifle, Three Positions, 50 metres",Women,Silver,Yuliya Zykova,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
617,617,"Small-Bore Rifle, Three Positions, 50 metres",Women,Bronze,Yuliya Karimova,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
618,618,Trap,Women,Gold,Zuzana Rehák Štefečeková,https://www.olympedia.org/images/flags/SVK.png,SVK,Shooting
619,619,Trap,Women,Silver,Kayle Browning,https://www.olympedia.org/images/flags/USA.png,USA,Shooting
620,620,Trap,Women,Bronze,Alessandra Perilli,https://www.olympedia.org/images/flags/SMR.png,SMR,Shooting
621,621,Skeet,Women,Gold,Amber English,https://www.olympedia.org/images/flags/USA.png,USA,Shooting
622,622,Skeet,Women,Silver,Diana Bacosi,https://www.olympedia.org/images/flags/ITA.png,ITA,Shooting
623,623,Skeet,Women,Bronze,Wei Meng,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
624,624,"Air Pistol, 10 metres, Team",Mixed,Gold,People's Republic of China 1,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
625,625,"Air Pistol, 10 metres, Team",Mixed,Silver,Russian Olympic Committee 1,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
626,626,"Air Pistol, 10 metres, Team",Mixed,Bronze,Ukraine,https://www.olympedia.org/images/flags/UKR.png,UKR,Shooting
627,627,"Air Rifle, 10 metres, Team",Mixed,Gold,People's Republic of China 1,https://www.olympedia.org/images/flags/CHN.png,CHN,Shooting
628,628,"Air Rifle, 10 metres, Team",Mixed,Silver,United States 1,https://www.olympedia.org/images/flags/USA.png,USA,Shooting
629,629,"Air Rifle, 10 metres, Team",Mixed,Bronze,Russian Olympic Committee 2,https://www.olympedia.org/images/flags/ROC.png,ROC,Shooting
630,630,"Trap, Team",Mixed,Gold,Spain,https://www.olympedia.org/images/flags/ESP.png,ESP,Shooting
631,631,"Trap, Team",Mixed,Silver,San Marino,https://www.olympedia.org/images/flags/SMR.png,SMR,Shooting
632,632,"Trap, Team",Mixed,Bronze,United States 2,https://www.olympedia.org/images/flags/USA.png,USA,Shooting
633,633,Street,Men,Gold,Yuto Horigome,https://www.olympedia.org/images/flags/JPN.png,JPN,Skateboarding
634,634,Street,Men,Silver,Kelvin Hoefler,https://www.olympedia.org/images/flags/BRA.png,BRA,Skateboarding
635,635,Street,Men,Bronze,Jagger Eaton,https://www.olympedia.org/images/flags/USA.png,USA,Skateboarding
636,636,Park,Men,Gold,Keegan Palmer,https://www.olympedia.org/images/flags/AUS.png,AUS,Skateboarding
637,637,Park,Men,Silver,Pedro Barros,https://www.olympedia.org/images/flags/BRA.png,BRA,Skateboarding
638,638,Park,Men,Bronze,Cory Juneau,https://www.olympedia.org/images/flags/USA.png,USA,Skateboarding
639,639,Street,Women,Gold,Momiji Nishiya,https://www.olympedia.org/images/flags/JPN.png,JPN,Skateboarding
640,640,Street,Women,Silver,Rayssa Leal,https://www.olympedia.org/images/flags/BRA.png,BRA,Skateboarding
641,641,Street,Women,Bronze,Funa Nakayama,https://www.olympedia.org/images/flags/JPN.png,JPN,Skateboarding
642,642,Park,Women,Gold,Sakura Yosozumi,https://www.olympedia.org/images/flags/JPN.png,JPN,Skateboarding
643,643,Park,Women,Silver,Kokona Hiraki,https://www.olympedia.org/images/flags/JPN.png,JPN,Skateboarding
644,644,Park,Women,Bronze,Sky Brown,https://www.olympedia.org/images/flags/GBR.png,GBR,Skateboarding
645,645,Softball,Women,Gold,Japan,https://www.olympedia.org/images/flags/JPN.png,JPN,Softball
646,646,Softball,Women,Silver,United States,https://www.olympedia.org/images/flags/USA.png,USA,Softball
647,647,Softball,Women,Bronze,Canada,https://www.olympedia.org/images/flags/CAN.png,CAN,Softball
648,648,Combined,Men,Gold,Alberto GInés,https://www.olympedia.org/images/flags/ESP.png,ESP,Sport Climbing
649,649,Combined,Men,Silver,Nathaniel Coleman,https://www.olympedia.org/images/flags/USA.png,USA,Sport Climbing
650,650,Combined,Men,Bronze,Jakob Schubert,https://www.olympedia.org/images/flags/AUT.png,AUT,Sport Climbing
651,651,Combined,Women,Gold,Janja Garnbret,https://www.olympedia.org/images/flags/SLO.png,SLO,Sport Climbing
652,652,Combined,Women,Silver,Miho Nonaka,https://www.olympedia.org/images/flags/JPN.png,JPN,Sport Climbing
653,653,Combined,Women,Bronze,Akiyo Noguchi,https://www.olympedia.org/images/flags/JPN.png,JPN,Sport Climbing
654,654,Shortboard,Men,Gold,Ítalo Ferreira,https://www.olympedia.org/images/flags/BRA.png,BRA,Surfing
655,655,Shortboard,Men,Silver,Kanoa Igarashi,https://www.olympedia.org/images/flags/JPN.png,JPN,Surfing
656,656,Shortboard,Men,Bronze,Owen Wright,https://www.olympedia.org/images/flags/AUS.png,AUS,Surfing
657,657,Shortboard,Women,Gold,Carissa Moore,https://www.olympedia.org/images/flags/USA.png,USA,Surfing
658,658,Shortboard,Women,Silver,Bianca Buitendag,https://www.olympedia.org/images/flags/RSA.png,RSA,Surfing
659,659,Shortboard,Women,Bronze,Amuro Tsuzuki,https://www.olympedia.org/images/flags/JPN.png,JPN,Surfing
660,660,50 metres Freestyle,Men,Gold,Caeleb Dressel,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
661,661,50 metres Freestyle,Men,Silver,Florent Manaudou,https://www.olympedia.org/images/flags/FRA.png,FRA,Swimming
662,662,50 metres Freestyle,Men,Bronze,Bruno Fratus,https://www.olympedia.org/images/flags/BRA.png,BRA,Swimming
663,663,100 metres Freestyle,Men,Gold,Caeleb Dressel,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
664,664,100 metres Freestyle,Men,Silver,Kyle Chalmers,https://www.olympedia.org/images/flags/AUS.png,AUS,Swimming
665,665,100 metres Freestyle,Men,Bronze,Kliment Kolesnikov,https://www.olympedia.org/images/flags/ROC.png,ROC,Swimming
666,666,200 metres Freestyle,Men,Gold,Tom Dean,https://www.olympedia.org/images/flags/GBR.png,GBR,Swimming
667,667,200 metres Freestyle,Men,Silver,Duncan Scott,https://www.olympedia.org/images/flags/GBR.png,GBR,Swimming
668,668,200 metres Freestyle,Men,Bronze,Fernando Scheffer,https://www.olympedia.org/images/flags/BRA.png,BRA,Swimming
669,669,400 metres Freestyle,Men,Gold,Ahmed Hafnaoui,https://www.olympedia.org/images/flags/TUN.png,TUN,Swimming
670,670,400 metres Freestyle,Men,Silver,Jack McLoughlin,https://www.olympedia.org/images/flags/AUS.png,AUS,Swimming
671,671,400 metres Freestyle,Men,Bronze,Kieran Smith,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
672,672,800 metres Freestyle,Men,Gold,Robert Finke,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
673,673,800 metres Freestyle,Men,Silver,Gregorio Paltrinieri,https://www.olympedia.org/images/flags/ITA.png,ITA,Swimming
674,674,800 metres Freestyle,Men,Bronze,Mykhailo Romanchuk,https://www.olympedia.org/images/flags/UKR.png,UKR,Swimming
675,675,"1,500 metres Freestyle",Men,Gold,Robert Finke,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
676,676,"1,500 metres Freestyle",Men,Silver,Mykhailo Romanchuk,https://www.olympedia.org/images/flags/UKR.png,UKR,Swimming
677,677,"1,500 metres Freestyle",Men,Bronze,Florian Wellbrock,https://www.olympedia.org/images/flags/GER.png,GER,Swimming
678,678,4 × 100 metres Freestyle Relay,Men,Gold,United States,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
679,679,4 × 100 metres Freestyle Relay,Men,Silver,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Swimming
680,680,4 × 100 metres Freestyle Relay,Men,Bronze,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Swimming
681,681,4 × 200 metres Freestyle Relay,Men,Gold,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Swimming
682,682,4 × 200 metres Freestyle Relay,Men,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Swimming
683,683,4 × 200 metres Freestyle Relay,Men,Bronze,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Swimming
684,684,100 metres Backstroke,Men,Gold,Yevgeny Rylov,https://www.olympedia.org/images/flags/ROC.png,ROC,Swimming
685,685,100 metres Backstroke,Men,Silver,Kliment Kolesnikov,https://www.olympedia.org/images/flags/ROC.png,ROC,Swimming
686,686,100 metres Backstroke,Men,Bronze,Ryan Murphy,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
687,687,200 metres Backstroke,Men,Gold,Yevgeny Rylov,https://www.olympedia.org/images/flags/ROC.png,ROC,Swimming
688,688,200 metres Backstroke,Men,Silver,Ryan Murphy,https://www.olympedia.org/images/flags/USA.png,USA,Swimming
689,689,200 metres Backstroke,Men,Bronze,Luke Greenbank,https://www.olympedia.org/images/flags/GBR.png,GBR,Swimming
690,690,100 metres Breaststroke,Men,Gold,Adam Peaty,https://www.olympedia.org/images/flags/GBR.png,GBR,Swimming
691,691,100 metres Breaststroke,Men,Silver,Arno Kamminga,https://www.olympedia.org/images/flags/NED.png,NED,Swimming
692,692,100 metres Breaststroke,Men,Bronze,Nicolò Martinenghi,https://www.olympedia.org/images/flags/ITA.png,ITA,Swimming
693,693,200 metres Breaststroke,Men,Gold,Zac Stubblety-Cook,https://www.olympedia.org/images/flags/AUS.png,AUS,Swimming
694,694,200 metres Breaststroke,Men,Silver,Arno Kamminga,https://www.olympedia.org/images/flags/NED.png,NED,Swimming
695,695,200 metres Breaststroke,Men,Bronze,Matti Mattsson,https://www.olympedia.org/images/flags/FIN.png,FIN,Swimming
