,index,Category,Category_Gender,Medal,Athlete_Full_Name,Country_IMG_URL,Country_Code,Sport_Event
283,283,"Road Race, Individual",Women,Bronze,Elisa Longo Borghini,https://www.olympedia.org/images/flags/ITA.png,ITA,Cycling Road
284,284,Individual Time Trial,Women,Gold,Annemiek van Vleuten,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Road
285,285,Individual Time Trial,Women,Silver,Marlen Reusser,https://www.olympedia.org/images/flags/SUI.png,SUI,Cycling Road
286,286,Individual Time Trial,Women,Bronze,Anna van der Breggen,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Road
287,287,Sprint,Men,Gold,Harrie Lavreysen,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Track
288,288,Sprint,Men,Silver,Jeffrey Hoogland,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Track
289,289,Sprint,Men,Bronze,Jack Carlin,https://www.olympedia.org/images/flags/GBR.png,GBR,Cycling Track
290,290,Keirin,Men,Gold,Jason Kenny,https://www.olympedia.org/images/flags/GBR.png,GBR,Cycling Track
291,291,Keirin,Men,Silver,Mohd Azizulhasni Bin Awang,https://www.olympedia.org/images/flags/MAS.png,MAS,Cycling Track
292,292,Keirin,Men,Bronze,Harrie Lavreysen,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Track
293,293,Team Sprint,Men,Gold,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Track
294,294,Team Sprint,Men,Silver,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Cycling Track
295,295,Team Sprint,Men,Bronze,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Cycling Track
296,296,"Team Pursuit, 4,000 metres",Men,Gold,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Cycling Track
297,297,"Team Pursuit, 4,000 metres",Men,Silver,Denmark,https://www.olympedia.org/images/flags/DEN.png,DEN,Cycling Track
298,298,"Team Pursuit, 4,000 metres",Men,Bronze,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Cycling Track
299,299,Madison,Men,Gold,Denmark,https://www.olympedia.org/images/flags/DEN.png,DEN,Cycling Track
300,300,Madison,Men,Silver,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Cycling Track
301,301,Madison,Men,Bronze,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Cycling Track
302,302,Omnium,Men,Gold,Matthew Walls,https://www.olympedia.org/images/flags/GBR.png,GBR,Cycling Track
303,303,Omnium,Men,Silver,Campbell Stewart,https://www.olympedia.org/images/flags/NZL.png,NZL,Cycling Track
304,304,Omnium,Men,Bronze,Elia Viviani,https://www.olympedia.org/images/flags/ITA.png,ITA,Cycling Track
305,305,Sprint,Women,Gold,Kelsey Mitchell,https://www.olympedia.org/images/flags/CAN.png,CAN,Cycling Track
306,306,Sprint,Women,Silver,Olena Starikova,https://www.olympedia.org/images/flags/UKR.png,UKR,Cycling Track
307,307,Sprint,Women,Bronze,Sarah Lee,https://www.olympedia.org/images/flags/HKG.png,HKG,Cycling Track
308,308,Keirin,Women,Gold,Shanne Braspennincx,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Track
309,309,Keirin,Women,Silver,Ellesse Andrews,https://www.olympedia.org/images/flags/NZL.png,NZL,Cycling Track
310,310,Keirin,Women,Bronze,Lauriane Genest,https://www.olympedia.org/images/flags/CAN.png,CAN,Cycling Track
311,311,Team Sprint,Women,Gold,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Cycling Track
312,312,Team Sprint,Women,Silver,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Cycling Track
313,313,Team Sprint,Women,Bronze,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Cycling Track
314,314,Team Pursuit,Women,Gold,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Cycling Track
315,315,Team Pursuit,Women,Silver,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Cycling Track
316,316,Team Pursuit,Women,Bronze,United States,https://www.olympedia.org/images/flags/USA.png,USA,Cycling Track
317,317,Omnium,Women,Gold,Jennifer Valente,https://www.olympedia.org/images/flags/USA.png,USA,Cycling Track
318,318,Omnium,Women,Silver,Yumi Kajihara,https://www.olympedia.org/images/flags/JPN.png,JPN,Cycling Track
319,319,Omnium,Women,Bronze,Kirsten Wild,https://www.olympedia.org/images/flags/NED.png,NED,Cycling Track
320,320,Springboard,Men,Gold,Xie Siyi,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
321,321,Springboard,Men,Silver,Wang Zongyuan,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
322,322,Springboard,Men,Bronze,Jack Laugher,https://www.olympedia.org/images/flags/GBR.png,GBR,Diving
323,323,Platform,Men,Gold,Cao Yuan,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
324,324,Platform,Men,Silver,Yang Jian,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
325,325,Platform,Men,Bronze,Tom Daley,https://www.olympedia.org/images/flags/GBR.png,GBR,Diving
326,326,Synchronized Springboard,Men,Gold,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
327,327,Synchronized Springboard,Men,Silver,United States,https://www.olympedia.org/images/flags/USA.png,USA,Diving
328,328,Synchronized Springboard,Men,Bronze,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Diving
329,329,Synchronized Platform,Men,Gold,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Diving
