Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(Australasia),Release date(Europe)
Knytt Underground,Adventure,Nifflas' GamesMP2 Games,JP: Flyhigh WorksWW: Ripstone,"August 20, 2014","December 19, 2013",Unreleased,"December 19, 2013"
Kung Fu Fight!,Endless runner,Nostatic Software,Nostatic Software,Unreleased,"August 6, 2015",Unreleased,"December 24, 2015"
Kung Fu Panda: Showdown of Legendary Legends,Fighting,Vicious Cycle Software,Little Orbit,Unreleased,"December 15, 2015","December 15, 2015","December 15, 2015"
Kung Fu Rabbit,Action,cTools Studio,Bulkypix,"November 19, 2014","May 2, 2013",Unreleased,"April 18, 2013"
Land It Rocket,Puzzle,Bear Box Media,Petite Games,Unreleased,"July 9, 2015",Unreleased,Unreleased
Laser Blaster,Shoot 'em up,Petite Games,Petite Games,Unreleased,"September 22, 2016",Unreleased,"September 22, 2016"
Last Soldier,Arcade,"38,9_Degrees",RandomSpin,Unreleased,"November 15, 2018",Unreleased,Unreleased
Legend of Kay Anniversary,Platform,Unit 4 Games,Nordic Games,Unreleased,"July 28, 2015","July 28, 2015","July 28, 2015"
The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,Nintendo,"March 3, 2017","March 3, 2017","March 3, 2017","March 3, 2017"
The Legend of Zelda: Twilight Princess HD,Action-adventure,"Nintendo EPD, Tantalus Media",Nintendo,"March 10, 2016","March 4, 2016","March 5, 2016","March 4, 2016"
The Legend of Zelda: The Wind Waker HD,Action-adventure,Nintendo EAD,Nintendo,"September 26, 2013","October 4, 2013","October 5, 2013","October 4, 2013"
Lego Batman 2: DC Super Heroes,Action-adventure,Traveller's Tales,Warner Bros. Interactive Entertainment,Unreleased,"May 21, 2013","May 21, 2013","May 21, 2013"
Lego Batman 3: Beyond Gotham,Action-adventure,Traveller's Tales,Warner Bros. Interactive Entertainment,"April 2, 2015","November 11, 2014","November 26, 2014","November 14, 2014"
Lego City Undercover,Action-adventure,"TT Fusion, Nintendo SPD",Nintendo,"July 25, 2013","March 18, 2013","March 28, 2013","March 28, 2013"
Lego Dimensions,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,Unreleased,"September 27, 2015","September 28, 2015","September 29, 2015"
Lego Jurassic World,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"November 5, 2015","June 12, 2015","July 3, 2015","July 3, 2015"
Lego Marvel Super Heroes,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"January 22, 2015","October 22, 2013","November 13, 2013","November 15, 2013"
Lego Marvel's Avengers,Action-adventure,TT Games,Warner Bros. Interactive Entertainment,"January 26, 2016","January 26, 2016","January 29, 2016","January 29, 2016"
The Lego Movie Videogame,Action-adventure,"TT Fusion, TT Games",Warner Bros. Interactive Entertainment,"November 6, 2014","February 7, 2014","April 3, 2014","February 14, 2014"
Lego Star Wars: The Force Awakens,Action-adventure,"TT Fusion, TT Games",Warner Bros. Interactive Entertainment,"October 13, 2016","June 28, 2016","June 28, 2016","June 28, 2016"
Lego The Hobbit,Action-adventureaction role-playing,Traveller's Tales,"Warner Bros. Interactive Entertainment, MGM Interactive",Unreleased,"April 8, 2014","April 17, 2014","April 11, 2014"
The Letter,Adventure,TreeFall Studios,TreeFall Studios,Unreleased,"July 10, 2014","July 10, 2014","July 10, 2014"
Letter Quest Remastered,Role-playing,Digerati,Digerati,Unreleased,"September 8, 2016",Unreleased,"July 28, 2016"
"Level 22, Gary's Misadventures",Stealth,Moving Player,Moving Player,Unreleased,"January 28, 2016",Unreleased,"January 28, 2016"
Life of Pixel,Action platformer,Super Icon,Super Icon,Unreleased,"June 18, 2015",Unreleased,"January 21, 2016"
Little Inferno,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"April 2, 2015","November 18, 2012","November 30, 2012","November 30, 2012"
Lone Survivor: The Director's Cut,Survival horror,Superflat Games,Curve Digital,Unreleased,"October 16, 2014","October 16, 2014","October 16, 2014"
Lost Reavers,Action,Bandai Namco,Bandai Namco,"December 2, 2015","April 28, 2016","April 28, 2016","April 28, 2016"
Lovely Planet,First-person shooter,Quicktequila,tinyBuild,Unreleased,"March 31, 2016",Unreleased,"April 7, 2016"
Lucadian Chronicles,Strategy,Dark Roast Entertainment,Dark Roast Entertainment,Unreleased,"December 11, 2014",Unreleased,Unreleased
Lucentek Beyond,Role-playingadventureactionfighting,Joseph Lucente,Lucentek,Unreleased,"February 2, 2017",Unreleased,Unreleased
Lucentek: Activate,"Action, adventure",Joseph Lucentre,Joseph Lucentre,Unreleased,"November 19, 2015",Unreleased,Unreleased
Luv Me Buddies Wonderland,Party,Reward Studios,O2 Games,Unreleased,"May 29, 2014",Unreleased,"June 26, 2014"
Madden NFL 13,Sports,EA Tiburon,EA Sports,Unreleased,"November 18, 2012",Unreleased,Unreleased
Mahjong,Puzzle,Sanuk Games,Sanuk Games,Unreleased,"October 13, 2016",Unreleased,"September 22, 2016"
Mahjong Deluxe 3,Puzzle,EnsenaSoft,EnsenaSoft,Unreleased,"March 16, 2017",Unreleased,Unreleased
Manabi Getto!,Educational,GakkenToppan,GakkenToppan,"April 28, 2015",Unreleased,Unreleased,Unreleased
Mario & Sonic at the Rio 2016 Olympic Games,Sports,Sega Sports JapanNintendo SPD,Nintendo,"June 23, 2016","June 24, 2016","June 24, 2016","June 24, 2016"
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Sports,Sega Sports JapanNintendo SPD,Nintendo,"December 5, 2013","November 15, 2013","November 9, 2013","November 8, 2013"
Mario Kart 8,Racing,Bandai Namco StudiosNintendo EAD,Nintendo,"May 29, 2014","May 30, 2014","May 31, 2014","May 30, 2014"
Mario Party 10,Party,NDcubeNintendo SPD,Nintendo,"March 12, 2015","March 20, 2015","March 21, 2015","March 20, 2015"
Mario Tennis: Ultra Smash,Sports,Camelot Software Planning,Nintendo,"January 28, 2016","November 20, 2015","November 21, 2015","November 20, 2015"
Mario vs. Donkey Kong: Tipping Stars,Puzzle,Nintendo Software Technology,Nintendo,"March 9, 2015","March 5, 2015","March 20, 2015","March 20, 2015"
Marvel Avengers: Battle for Earth,Fighting,Ubisoft Quebec,Ubisoft,Unreleased,"December 4, 2012","February 14, 2013","January 24, 2013"
